stop_name,direction_id,service_date_day,delay_time
Assembly,0,2020-05-06,96.92241379310344
Assembly,0,2020-05-07,98.91379310344827
Assembly,0,2020-05-08,98.28448275862068
Assembly,0,2020-05-09,96.03448275862068
Assembly,0,2020-05-10,95.54166666666667
Assembly,0,2020-05-11,97.08620689655173
Assembly,0,2020-05-12,96.05172413793103
Assembly,0,2020-05-13,98.62931034482759
Assembly,0,2020-05-14,96.29310344827586
Assembly,0,2020-05-15,98.28070175438596
Assembly,0,2020-05-16,98.97368421052632
Assembly,0,2020-05-17,99.10309278350516
Assembly,0,2020-05-18,100.3391304347826
Assembly,0,2020-05-19,95.99137931034483
Assembly,0,2020-05-20,98.46551724137932
Assembly,0,2020-05-21,98.39252336448598
Assembly,0,2020-05-22,101.16814159292035
Assembly,0,2020-05-23,95.61206896551724
Assembly,0,2020-05-24,98.0618556701031
